Word,Count,InferredValence,ValenceCategory
aback,1,0.482329541,2
afraid,6,0.084013176,2
agitated,2,0.299367791,2
alert,15,0.403597914,2
alone,1,0.26184098,2
ambiguous,1,0.246933533,2
anger,4,0.368554059,2
angry,60,0.12190893,2
angsty,1,0.159336007,2
annoyance,1,0.137764852,2
annoyed,163,0.140615185,2
antsy,6,0.348600034,2
anxiety,9,0.196643964,2
anxious,152,0.226350719,2
apathetic,1,0.304928357,2
apprehensive,4,0.379679707,2
ashamed,1,0.129074909,2
awkward,11,0.215365155,2
bashful,1,0.277856714,2
bewildered,2,0.242190727,2
bitter,1,0.207969568,2
bored,394,0.200936812,2
boredom,17,0.292572542,2
bothered,2,0.197163254,2
busy,73,0.28883206,2
cautious,1,0.45712249,2
chagrined,1,0.160513464,2
challenged,1,0.383828083,2
chilling,3,0.377359545,2
clumsy,2,0.173915034,2
cold,11,0.356600136,2
collected,1,0.433157135,2
concerned,22,0.213401854,2
conflicted,13,0.216061001,2
confused,107,0.205524164,2
confusion,2,0.210801718,2
cramped,1,0.353829311,2
cranky,1,0.196994389,2
creeped,1,0.263208724,2
critical,3,0.214727122,2
criticizing,1,0.191325876,2
defeated,5,0.099175749,2
defensive,1,0.452984136,2
dejected,4,0.092408784,2
deprecating,2,0.354260607,2
depressed,1,0.077738622,2
depression,1,0.081101318,2
derisive,1,0.194830708,2
disagreeable,1,0.117497037,2
disappointed,25,0.105192736,2
disappointment,1,0.099332803,2
disapproving,1,0.194636604,2
disbelief,1,0.318742801,2
discomfort,1,0.173756542,2
discouraged,1,0.203110777,2
disdained,1,0.147028605,2
disgruntled,1,0.121801566,2
disgust,2,0.153140784,2
disgusted,8,0.1311502,2
disinterested,1,0.311218805,2
dismissive,1,0.208633773,2
dissatisfied,1,0.187544776,2
distracted,19,0.284183019,2
distress,1,0.132278115,2
down,3,0.273249489,2
drained,1,0.218694839,2
dread,3,0.146832303,2
drowsy,2,0.308448805,2
dull,1,0.235096934,2
embarrassed,28,0.159729611,2
ewww,1,0.443892534,2
exasperated,7,0.166995258,2
excluded,1,0.133995076,2
exhaust,1,0.350211028,2
exhausted,25,0.235222877,2
exhaustion,4,0.24027681,2
faint,1,0.208778273,2
fatigue,6,0.21992242,2
fatigued,2,0.217859393,2
fidgety,1,0.235101001,2
fine,1,0.385263491,2
fired,2,0.142576077,2
flummoxed,1,0.271244166,2
flustered,9,0.280967835,2
frustrated,186,0.087967918,2
frustration,7,0.126637668,2
fussy,3,0.361712025,2
gossipy,1,0.203968623,2
grossed,2,0.128874042,2
grumpy,2,0.204408482,2
guilt,1,0.211842863,2
guilty,17,0.198421838,2
hassled,1,0.152518563,2
haste,1,0.425344822,2
hate,1,0.120217518,2
headache,1,0.15704793,2
hesitant,6,0.369066178,2
humbled,1,0.46901135,2
hunger,11,0.179225016,2
hungry,97,0.317334813,2
hurried,2,0.366003506,2
hyper,1,0.420642701,2
impatient,11,0.265033923,2
indecisive,2,0.295037753,2
